"sex","age_cat","mean","lower","upper","parasite"
"M","[0,2)",0.137,0.013,0.507,"Ascaris"
"M","[2,5)",0.202,0.023,0.644,"Ascaris"
"M","[5,12)",0.245,0.03,0.706,"Ascaris"
"M","[12,20)",0.262,0.033,0.716,"Ascaris"
"M","[20,50)",0.189,0.021,0.618,"Ascaris"
"M","[50,Inf)",0.19,0.021,0.629,"Ascaris"
"F","[0,2)",0.144,0.014,0.528,"Ascaris"
"F","[2,5)",0.211,0.024,0.663,"Ascaris"
"F","[5,12)",0.255,0.032,0.722,"Ascaris"
"F","[12,20)",0.273,0.035,0.734,"Ascaris"
"F","[20,50)",0.198,0.022,0.634,"Ascaris"
"F","[50,Inf)",0.199,0.023,0.643,"Ascaris"
"M","[0,2)",0.017,0,0.136,"Hookworm"
"M","[2,5)",0.031,0,0.261,"Hookworm"
"M","[5,12)",0.032,0,0.276,"Hookworm"
"M","[12,20)",0.035,0,0.297,"Hookworm"
"M","[20,50)",0.033,0,0.295,"Hookworm"
"M","[50,Inf)",0.029,0,0.249,"Hookworm"
"F","[0,2)",0.011,0,0.086,"Hookworm"
"F","[2,5)",0.021,0,0.174,"Hookworm"
"F","[5,12)",0.022,0,0.187,"Hookworm"
"F","[12,20)",0.023,0,0.206,"Hookworm"
"F","[20,50)",0.022,0,0.191,"Hookworm"
"F","[50,Inf)",0.019,0,0.161,"Hookworm"
"M","[0,2)",0.071,0.001,0.466,"Trichuris"
"M","[2,5)",0.142,0.003,0.703,"Trichuris"
"M","[5,12)",0.207,0.005,0.823,"Trichuris"
"M","[12,20)",0.199,0.005,0.813,"Trichuris"
"M","[20,50)",0.133,0.003,0.691,"Trichuris"
"M","[50,Inf)",0.142,0.003,0.705,"Trichuris"
"F","[0,2)",0.079,0.001,0.504,"Trichuris"
"F","[2,5)",0.157,0.003,0.738,"Trichuris"
"F","[5,12)",0.226,0.006,0.842,"Trichuris"
"F","[12,20)",0.217,0.006,0.828,"Trichuris"
"F","[20,50)",0.146,0.003,0.722,"Trichuris"
"F","[50,Inf)",0.157,0.003,0.738,"Trichuris"
"M","[0,2)",0.002,0,0.008,"Strongyloides"
"M","[2,5)",0.01,0.002,0.027,"Strongyloides"
"M","[5,12)",0.004,0.001,0.01,"Strongyloides"
"M","[12,20)",0.005,0.001,0.014,"Strongyloides"
"M","[20,50)",0.006,0.001,0.015,"Strongyloides"
"M","[50,Inf)",0.005,0,0.017,"Strongyloides"
"F","[0,2)",0.001,0,0.006,"Strongyloides"
"F","[2,5)",0.008,0.001,0.021,"Strongyloides"
"F","[5,12)",0.003,0,0.008,"Strongyloides"
"F","[12,20)",0.003,0.001,0.01,"Strongyloides"
"F","[20,50)",0.004,0.001,0.011,"Strongyloides"
"F","[50,Inf)",0.004,0,0.013,"Strongyloides"
"M","[0,2)",0.028,0.002,0.15,"H. nana"
"M","[2,5)",0.054,0.005,0.274,"H. nana"
"M","[5,12)",0.07,0.007,0.345,"H. nana"
"M","[12,20)",0.036,0.003,0.191,"H. nana"
"M","[20,50)",0.031,0.002,0.158,"H. nana"
"M","[50,Inf)",0.036,0.002,0.196,"H. nana"
"F","[0,2)",0.025,0.001,0.137,"H. nana"
"F","[2,5)",0.049,0.004,0.254,"H. nana"
"F","[5,12)",0.063,0.006,0.316,"H. nana"
"F","[12,20)",0.033,0.003,0.173,"H. nana"
"F","[20,50)",0.028,0.002,0.144,"H. nana"
"F","[50,Inf)",0.032,0.002,0.18,"H. nana"
"M","[0,2)",0.003,0,0.014,"S. mansoni"
"M","[2,5)",0.004,0,0.014,"S. mansoni"
"M","[5,12)",0.005,0,0.022,"S. mansoni"
"M","[12,20)",0.003,0,0.014,"S. mansoni"
"M","[20,50)",0.007,0.001,0.029,"S. mansoni"
"M","[50,Inf)",0.002,0,0.009,"S. mansoni"
"F","[0,2)",0.003,0,0.016,"S. mansoni"
"F","[2,5)",0.004,0,0.017,"S. mansoni"
"F","[5,12)",0.006,0,0.024,"S. mansoni"
"F","[12,20)",0.004,0,0.015,"S. mansoni"
"F","[20,50)",0.008,0.001,0.034,"S. mansoni"
"F","[50,Inf)",0.002,0,0.009,"S. mansoni"
"M","[0,2)",0.515,0.031,0.974,"Helms"
"M","[2,5)",0.543,0.036,0.976,"Helms"
"M","[5,12)",0.512,0.03,0.973,"Helms"
"M","[12,20)",0.6,0.048,0.983,"Helms"
"M","[20,50)",0.552,0.036,0.977,"Helms"
"M","[50,Inf)",0.571,0.04,0.98,"Helms"
"F","[0,2)",0.509,0.028,0.973,"Helms"
"F","[2,5)",0.537,0.036,0.977,"Helms"
"F","[5,12)",0.507,0.03,0.972,"Helms"
"F","[12,20)",0.594,0.047,0.982,"Helms"
"F","[20,50)",0.546,0.037,0.977,"Helms"
"F","[50,Inf)",0.565,0.039,0.979,"Helms"
"M","[0,2)",0.302,0.004,0.963,"E. coli"
"M","[2,5)",0.233,0.002,0.94,"E. coli"
"M","[5,12)",0.218,0.002,0.927,"E. coli"
"M","[12,20)",0.167,0.001,0.889,"E. coli"
"M","[20,50)",0.225,0.002,0.931,"E. coli"
"M","[50,Inf)",0.267,0.003,0.958,"E. coli"
"F","[0,2)",0.334,0.005,0.973,"E. coli"
"F","[2,5)",0.26,0.003,0.955,"E. coli"
"F","[5,12)",0.244,0.003,0.941,"E. coli"
"F","[12,20)",0.189,0.001,0.909,"E. coli"
"F","[20,50)",0.252,0.003,0.945,"E. coli"
"F","[50,Inf)",0.296,0.003,0.964,"E. coli"
