"region","mean","lower","upper","parasite"
"NE",0.389,0.196,0.611,"Ascaris"
"SE",0.561,0.355,0.748,"Ascaris"
"SW",0.056,0.02,0.117,"Ascaris"
"WC",0.009,0.002,0.025,"Ascaris"
"CP",0.238,0.104,0.412,"Ascaris"
"NE",0.081,0.009,0.24,"Hookworm"
"SE",0.009,0.001,0.03,"Hookworm"
"SW",0.005,0,0.019,"Hookworm"
"WC",0.001,0,0.005,"Hookworm"
"CP",0.001,0,0.007,"Hookworm"
"NE",0.253,0.105,0.457,"Trichuris"
"SE",0.653,0.424,0.836,"Trichuris"
"SW",0.036,0.011,0.086,"Trichuris"
"WC",0.001,0,0.004,"Trichuris"
"CP",0.033,0.009,0.074,"Trichuris"
"NE",0.005,0.001,0.014,"Strongyloides"
"SE",0.005,0.001,0.013,"Strongyloides"
"SW",0.004,0.001,0.009,"Strongyloides"
"WC",0.004,0.001,0.009,"Strongyloides"
"CP",0.005,0.001,0.011,"Strongyloides"
"NE",0.002,0,0.008,"H. nana"
"SE",0.009,0.002,0.022,"H. nana"
"SW",0.105,0.042,0.2,"H. nana"
"WC",0.054,0.018,0.11,"H. nana"
"CP",0.025,0.008,0.054,"H. nana"
"NE",0.002,0,0.008,"S. mansoni"
"SE",0.008,0.001,0.031,"S. mansoni"
"SW",0.002,0,0.007,"S. mansoni"
"WC",0.002,0,0.007,"S. mansoni"
"CP",0.005,0.001,0.017,"S. mansoni"
"NE",0.542,0.032,0.977,"Helms"
"NE",0.243,0.003,0.936,"E. coli"
